winner,referee,method_of_victory,red_Knockdowns,blue_Knockdowns,red_sig_str,blue_sig_str,red_sig_str_percentage,blue_sig_str_percentage,red_total_strikes,blue_total_strikes,red_total_strikes_percentage,blue_total_strikes_percentage,red_takedowns,blue_takedowns,red_takedown_percentage,blue_takedown_percentage,red_subs_attempted,blue_subs_attempted
0,46,6,1,1,96,64,49,27,96,65,49,27,1,0,100,0,1,0
1,103,9,0,0,81,46,38,24,98,46,40,24,0,2,0,18,0,0
0,190,6,1,0,44,37,39,34,53,39,44,35,3,0,42,0,0,0
1,70,6,0,0,12,60,25,57,13,127,27,67,0,10,0,66,0,0
0,153,2,0,0,66,40,68,50,149,57,75,55,7,0,58,0,0,0
1,179,9,0,1,147,129,60,47,167,161,63,50,2,6,50,54,0,0
1,74,2,0,1,31,62,44,59,32,74,45,63,1,1,100,100,0,0
1,46,9,0,1,100,125,56,63,113,172,59,70,1,0,33,0,0,1
0,70,2,1,0,7,2,70,22,7,2,70,22,0,0,0,0,0,0
0,74,2,1,0,8,2,80,28,8,2,80,29,0,0,0,0,0,0
0,153,6,0,1,61,25,78,65,121,26,82,67,2,0,66,0,1,2
1,179,2,0,1,0,17,0,85,0,21,0,88,0,0,0,0,0,0
1,46,7,0,0,26,21,49,58,32,25,54,62,1,0,20,0,0,1
0,74,7,0,0,44,55,54,62,72,147,65,79,4,0,66,0,2,0
0,46,2,0,0,18,3,56,42,23,6,61,55,2,1,100,50,1,0
1,179,2,0,1,2,2,66,66,2,2,67,67,0,0,0,0,0,0
1,70,6,0,0,56,115,52,56,86,135,59,60,3,2,21,100,1,0
0,46,2,1,0,81,47,43,46,81,47,43,47,0,1,0,50,0,0
1,153,6,0,0,13,30,46,52,35,84,65,66,0,3,0,60,0,1
1,5,6,0,0,36,72,35,43,39,73,37,44,0,1,0,100,0,0
0,70,9,0,0,66,85,44,45,81,100,49,50,1,0,100,0,0,0
1,153,7,0,0,14,13,58,39,15,35,58,60,0,2,0,28,0,2
1,46,2,0,0,3,6,60,66,3,6,60,67,0,1,0,100,0,0
1,153,7,0,1,3,11,37,64,3,11,38,65,0,0,0,0,0,1
0,70,2,0,0,22,4,73,50,24,14,75,78,1,0,100,0,0,2
1,5,9,0,0,95,66,60,50,151,117,71,65,0,1,0,100,0,0
1,70,2,0,1,85,65,52,49,99,93,56,56,1,2,33,28,0,0
1,46,6,0,0,22,41,35,47,77,112,63,67,2,1,33,33,2,0
0,5,6,0,0,85,44,55,40,104,44,58,41,2,0,66,0,0,0
1,74,6,0,1,87,152,28,44,89,171,29,47,0,3,0,100,0,0
1,103,2,0,0,35,81,47,65,43,93,51,67,2,0,66,0,0,0
2,139,0,0,0,3,0,60,0,3,0,60,0,0,0,0,0,0,0
0,103,2,1,0,53,39,50,53,59,56,50,62,0,2,0,50,0,2
0,74,7,1,0,30,20,53,52,40,24,58,57,0,0,0,0,1,0
0,139,9,0,0,29,34,44,53,109,51,69,59,0,1,0,50,0,0
0,198,6,0,0,64,55,47,52,78,96,50,63,2,0,100,0,0,0
0,196,2,2,0,54,19,56,35,64,19,58,35,1,0,100,0,1,0
0,103,6,0,0,100,76,31,34,101,78,32,35,3,1,37,25,0,0
1,198,9,0,0,103,120,35,51,104,131,36,53,1,0,20,0,0,0
1,196,6,0,0,51,71,40,60,65,145,46,71,0,4,0,33,0,1
1,198,9,0,0,57,59,36,49,76,85,41,55,1,1,16,100,0,0
1,139,6,0,0,3,17,30,77,31,77,72,80,2,0,50,0,1,0
1,153,6,0,0,153,241,50,58,154,257,51,60,1,4,100,66,0,0
0,103,2,0,0,80,23,69,56,134,77,77,80,4,0,80,0,0,0
0,46,6,0,0,89,59,57,48,111,73,62,54,1,0,50,0,0,0
0,70,7,0,0,27,2,77,50,88,3,91,60,2,0,66,0,1,0
0,153,2,1,0,13,7,76,50,13,7,76,50,0,0,0,0,0,0
0,46,6,0,0,86,57,61,64,104,70,66,69,2,2,40,100,0,0
1,103,2,0,1,14,65,37,71,14,65,38,71,0,0,0,0,0,0
0,70,7,1,0,22,13,59,44,31,13,67,45,1,0,100,0,1,0
0,40,6,0,0,102,76,43,44,108,82,45,47,2,2,28,40,0,0
0,70,6,0,0,57,23,57,48,181,47,77,65,3,0,30,0,0,0
2,103,5,0,0,4,1,100,50,12,2,100,67,1,0,100,0,2,0
1,46,6,0,0,67,56,57,50,72,62,59,52,1,0,20,0,0,0
0,139,6,0,0,142,41,53,28,196,57,61,36,6,0,46,0,0,0
0,179,2,1,0,26,12,72,42,37,32,79,54,0,0,0,0,0,0
0,139,7,1,0,19,9,46,32,19,16,46,46,2,0,100,0,1,0
0,179,6,1,0,88,74,47,37,88,74,48,38,0,0,0,0,0,0
0,40,6,1,0,95,83,49,49,103,87,52,50,0,1,0,9,0,0
2,179,0,0,0,57,26,67,42,59,34,69,49,3,0,75,0,1,0
1,40,6,0,0,63,67,49,42,68,115,52,49,0,1,0,100,0,0
