redCorner,blueCorner,winner,event,referee,method_of_victory,red_Knockdowns,blue_Knockdowns,red_sig_str,blue_sig_str,red_sig_str_percentage,blue_sig_str_percentage,red_total_strikes,blue_total_strikes,red_takedowns,blue_takedowns,red_takedown_percentage,blue_takedown_percentage,red_subs_attempted,blue_subs_attempted
Joe Riggs,Nick Diaz,Joe Riggs,UFC 57: Liddell vs Couture 3,Mario Yamasaki,Decision - Unanimous,0,1,51 of 116,38 of 106,43%,35%,69 of 135,126 of 200,3 of 8,0 of 7,37%,0%,0,1
Alessio Sakara,Elvis Sinosic,Alessio Sakara,UFC 57: Liddell vs Couture 3,Steve Mazzagatti,Decision - Unanimous,0,0,70 of 146,13 of 37,47%,35%,146 of 234,151 of 185,9 of 9,0 of 0,100%,---,0,0
Paul Buentello,Gilbert Aldana,Paul Buentello,UFC 57: Liddell vs Couture 3,John McCarthy,KO/TKO,0,0,49 of 71,28 of 54,69%,51%,67 of 89,38 of 65,1 of 2,0 of 2,50%,0%,1,0
Jeff Monson,Branden Lee Hinkle,Jeff Monson,UFC 57: Liddell vs Couture 3,Herb Dean,Submission,0,0,10 of 11,5 of 8,90%,62%,28 of 31,10 of 13,1 of 3,0 of 0,33%,---,1,1
Keith Jardine,Mike Whitehead,Keith Jardine,UFC 57: Liddell vs Couture 3,Steve Mazzagatti,Decision - Unanimous,0,0,44 of 131,27 of 73,33%,36%,90 of 177,37 of 83,0 of 0,5 of 12,---,41%,0,0
Tim Sylvia,Assuerio Silva,Tim Sylvia,UFC Fight Night 3,John McCarthy,Decision - Unanimous,0,0,85 of 224,36 of 79,37%,45%,137 of 276,43 of 86,0 of 0,0 of 5,---,0%,0,0
Stephan Bonnar,James Irvin,Stephan Bonnar,UFC Fight Night 3,Herb Dean,Submission,0,0,2 of 5,5 of 6,40%,83%,22 of 25,8 of 9,2 of 3,0 of 0,66%,---,2,0
Joshua Burkman,Drew Fickett,Joshua Burkman,UFC Fight Night 3,Mario Yamasaki,Submission,0,0,7 of 9,2 of 8,77%,25%,8 of 10,2 of 8,0 of 0,0 of 0,---,---,1,0
Chris Leben,Jorge Rivera,Chris Leben,UFC Fight Night 3,John McCarthy,KO/TKO,1,0,10 of 17,5 of 10,58%,50%,16 of 23,6 of 11,1 of 1,0 of 0,100%,---,0,0
Josh Neer,Melvin Guillard,Josh Neer,UFC Fight Night 3,Herb Dean,Submission,0,0,3 of 9,11 of 51,33%,21%,8 of 14,12 of 53,1 of 1,2 of 2,100%,100%,2,0
Duane Ludwig,Jonathan Goulet,Duane Ludwig,UFC Fight Night 3,Mario Yamasaki,KO/TKO,1,0,1 of 1,0 of 1,100%,0%,1 of 1,0 of 1,0 of 0,0 of 0,---,---,0,0
Spencer Fisher,Aaron Riley,Spencer Fisher,UFC Fight Night 3,John McCarthy,TKO - Doctor's Stoppage,0,0,25 of 65,9 of 23,38%,39%,30 of 70,17 of 32,0 of 0,2 of 4,---,50%,0,0
Jason Von Flue,Alex Karalexis,Jason Von Flue,UFC Fight Night 3,Steve Mazzagatti,Submission,0,0,28 of 68,18 of 60,41%,30%,50 of 90,35 of 77,0 of 2,1 of 5,0%,20%,2,3
Rich Franklin,Nate Quarry,Rich Franklin,UFC 56: Full Force,John McCarthy,KO/TKO,2,0,13 of 34,4 of 20,38%,20%,15 of 36,4 of 20,0 of 0,0 of 0,---,---,0,0
Gabriel Gonzaga,Kevin Jordan,Gabriel Gonzaga,UFC 56: Full Force,Herb Dean,KO/TKO,1,0,23 of 56,18 of 53,41%,33%,63 of 98,19 of 54,2 of 9,0 of 0,22%,---,2,0
Matt Hughes,Joe Riggs,Matt Hughes,UFC 56: Full Force,John McCarthy,Submission,0,0,8 of 13,1 of 5,61%,20%,9 of 14,1 of 5,1 of 1,0 of 0,100%,---,2,0
Georges St-Pierre,Sean Sherk,Georges St-Pierre,UFC 56: Full Force,Herb Dean,KO/TKO,0,0,58 of 111,20 of 55,52%,36%,78 of 132,32 of 67,3 of 4,0 of 3,75%,0%,0,0
Jeremy Horn,Trevor Prangley,Jeremy Horn,UFC 56: Full Force,Mario Yamasaki,Decision - Unanimous,0,0,38 of 71,38 of 78,53%,48%,67 of 102,77 of 122,0 of 3,7 of 10,0%,70%,1,0
Sam Hoger,Jeff Newton,Sam Hoger,UFC 56: Full Force,Herb Dean,Submission,0,0,10 of 21,2 of 10,47%,20%,35 of 48,4 of 12,3 of 3,0 of 0,100%,---,2,4
Thiago Alves,Ansar Chalangov,Thiago Alves,UFC 56: Full Force,Mario Yamasaki,KO/TKO,0,0,8 of 11,2 of 2,72%,100%,9 of 12,2 of 2,1 of 1,0 of 2,100%,0%,0,2
Nick Thompson,Keith Wisniewski,Nick Thompson,UFC 56: Full Force,Steve Mazzagatti,Decision - Unanimous,0,0,48 of 107,14 of 40,44%,35%,108 of 170,23 of 49,1 of 1,3 of 5,100%,60%,3,0
Diego Sanchez,Nick Diaz,Diego Sanchez,The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,John McCarthy,Decision - Unanimous,0,0,41 of 95,13 of 34,43%,38%,65 of 123,118 of 144,5 of 11,2 of 5,45%,40%,1,1
Rashad Evans,Brad Imes,Rashad Evans,The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,Herb Dean,Decision - Split,2,0,48 of 96,42 of 164,50%,25%,53 of 103,45 of 168,0 of 0,2 of 3,---,66%,0,1
Joe Stevenson,Luke Cummo,Joe Stevenson,The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,John McCarthy,Decision - Unanimous,0,0,20 of 33,20 of 39,60%,51%,58 of 77,66 of 91,5 of 9,1 of 1,55%,100%,2,1
Kenny Florian,Kit Cope,Kenny Florian,The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,Herb Dean,Submission,0,0,10 of 20,8 of 15,50%,53%,37 of 50,11 of 19,3 of 8,0 of 0,37%,---,2,0
Joshua Burkman,Sammy Morgan,Joshua Burkman,The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,Jon Schorle,KO/TKO,0,0,4 of 5,1 of 2,80%,50%,4 of 5,1 of 2,1 of 1,0 of 0,100%,---,0,0
Melvin Guillard,Marcus Davis,Melvin Guillard,The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,John McCarthy,TKO - Doctor's Stoppage,0,0,19 of 39,3 of 16,48%,18%,21 of 41,67 of 85,3 of 3,0 of 1,100%,0%,1,0
Keith Jardine,Kerry Schall,Keith Jardine,The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,Jon Schorle,KO/TKO,1,0,41 of 111,8 of 68,36%,11%,41 of 111,8 of 68,0 of 0,0 of 0,---,---,0,0
Andrei Arlovski,Paul Buentello,Andrei Arlovski,UFC 55: Fury,John McCarthy,KO/TKO,1,0,2 of 6,1 of 3,33%,33%,2 of 6,1 of 3,0 of 0,0 of 0,---,---,0,0
Branden Lee Hinkle,Sean Gannon,Branden Lee Hinkle,UFC 55: Fury,Herb Dean,KO/TKO,0,0,27 of 38,0 of 3,71%,0%,40 of 52,8 of 12,1 of 2,0 of 0,50%,---,3,0
Forrest Griffin,Elvis Sinosic,Forrest Griffin,UFC 55: Fury,Mario Yamasaki,KO/TKO,1,0,30 of 82,18 of 47,36%,38%,30 of 82,18 of 47,0 of 0,0 of 0,---,---,0,0
Renato Sobral,Chael Sonnen,Renato Sobral,UFC 55: Fury,Herb Dean,Submission,0,0,11 of 17,12 of 24,64%,50%,15 of 21,56 of 69,4 of 6,0 of 3,66%,0%,3,0
Joe Riggs,Chris Lytle,Joe Riggs,UFC 55: Fury,John McCarthy,TKO - Doctor's Stoppage,0,0,15 of 25,3 of 8,60%,37%,26 of 37,52 of 63,1 of 1,1 of 2,100%,50%,1,0
Jorge Rivera,Dennis Hallman,Jorge Rivera,UFC 55: Fury,Mario Yamasaki,Decision - Unanimous,0,0,51 of 92,12 of 29,55%,41%,94 of 141,15 of 32,0 of 0,1 of 6,---,16%,0,2
Marcio Cruz,Keigo Kunihara,Marcio Cruz,UFC 55: Fury,John McCarthy,Submission,0,0,12 of 28,1 of 10,42%,10%,19 of 36,10 of 20,0 of 2,2 of 5,0%,40%,1,1
Alessio Sakara,Ron Faircloth,,UFC 55: Fury,Herb Dean,Could Not Continue,1,0,46 of 80,2 of 5,57%,40%,62 of 98,17 of 21,0 of 0,0 of 0,---,---,0,0
David Loiseau,Evan Tanner,David Loiseau,UFC Fight Night 2,John McCarthy,TKO - Doctor's Stoppage,0,0,13 of 34,15 of 24,38%,62%,16 of 37,61 of 86,0 of 0,3 of 4,---,75%,0,2
Chris Leben,Edwin DeWees,Chris Leben,UFC Fight Night 2,Herb Dean,Submission,0,0,5 of 7,5 of 7,71%,71%,19 of 21,13 of 15,0 of 0,1 of 1,---,100%,1,2
Brandon Vera,Fabiano Scherner,Brandon Vera,UFC Fight Night 2,Steve Mazzagatti,KO/TKO,2,0,28 of 41,10 of 32,68%,31%,39 of 52,28 of 50,0 of 1,1 of 2,0%,50%,0,0
Drew Fickett,Josh Koscheck,Drew Fickett,UFC Fight Night 2,John McCarthy,Submission,1,0,5 of 17,8 of 16,29%,50%,33 of 45,95 of 106,0 of 0,6 of 6,---,100%,3,0
Spencer Fisher,Thiago Alves,Spencer Fisher,UFC Fight Night 2,Herb Dean,Submission,0,0,13 of 36,19 of 53,36%,35%,22 of 46,84 of 135,1 of 2,3 of 3,50%,100%,3,0
Jon Fitch,Brock Larson,Jon Fitch,UFC Fight Night 2,Steve Mazzagatti,Decision - Unanimous,0,0,25 of 49,14 of 20,51%,70%,146 of 170,19 of 25,5 of 7,1 of 4,71%,25%,2,3
Jonathan Goulet,Jay Hieron,Jonathan Goulet,UFC Fight Night 2,Jon Schorle,TKO - Doctor's Stoppage,0,0,14 of 42,10 of 26,33%,38%,63 of 101,29 of 48,0 of 0,9 of 12,---,75%,1,3
Chuck Liddell,Jeremy Horn,Chuck Liddell,UFC 54: Boiling Point,John McCarthy,KO/TKO,2,0,64 of 191,31 of 87,33%,35%,64 of 191,31 of 87,0 of 0,0 of 8,---,0%,0,0
Tim Sylvia,Tra Telligman,Tim Sylvia,UFC 54: Boiling Point,Mario Yamasaki,KO/TKO,1,0,31 of 69,13 of 40,44%,32%,32 of 70,13 of 40,0 of 0,0 of 0,---,---,0,0
Randy Couture,Mike van Arsdale,Randy Couture,UFC 54: Boiling Point,Herb Dean,Submission,0,0,27 of 46,8 of 40,58%,20%,40 of 60,9 of 41,4 of 6,1 of 9,66%,11%,3,0
Diego Sanchez,Brian Gassaway,Diego Sanchez,UFC 54: Boiling Point,Steve Mazzagatti,KO/TKO,0,0,35 of 64,3 of 6,54%,50%,52 of 86,3 of 6,3 of 6,0 of 0,50%,---,1,0
Georges St-Pierre,Frank Trigg,Georges St-Pierre,UFC 54: Boiling Point,John McCarthy,Submission,0,0,25 of 32,1 of 3,78%,33%,37 of 44,1 of 3,1 of 1,0 of 1,100%,0%,2,0
Matt Lindland,Joe Doerksen,Matt Lindland,UFC 54: Boiling Point,Mario Yamasaki,Decision - Unanimous,0,0,19 of 43,8 of 15,44%,53%,70 of 102,22 of 30,4 of 4,2 of 5,100%,40%,4,1
Trevor Prangley,Travis Lutter,Trevor Prangley,UFC 54: Boiling Point,Herb Dean,Decision - Unanimous,0,0,54 of 70,9 of 19,77%,47%,140 of 160,16 of 26,5 of 6,0 of 7,83%,0%,0,0
James Irvin,Terry Martin,James Irvin,UFC 54: Boiling Point,Steve Mazzagatti,KO/TKO,1,0,6 of 7,12 of 13,85%,92%,9 of 10,33 of 34,0 of 0,2 of 4,---,50%,0,0
Nate Marquardt,Ivan Salaverry,Nate Marquardt,UFC Fight Night 1,John McCarthy,Decision - Unanimous,0,0,21 of 63,23 of 66,33%,34%,27 of 70,46 of 89,2 of 2,0 of 3,100%,0%,2,0
Chris Leben,Patrick Cote,Chris Leben,UFC Fight Night 1,Herb Dean,Decision - Split,0,0,26 of 63,26 of 63,41%,41%,185 of 234,30 of 67,1 of 5,1 of 2,20%,50%,0,0
Stephan Bonnar,Sam Hoger,Stephan Bonnar,UFC Fight Night 1,John McCarthy,Decision - Unanimous,0,0,43 of 91,11 of 29,47%,37%,105 of 162,52 of 71,3 of 7,1 of 1,42%,100%,1,2
Nate Quarry,Pete Sell,Nate Quarry,UFC Fight Night 1,Cecil Peoples,KO/TKO,1,0,3 of 8,2 of 12,37%,16%,3 of 8,2 of 12,0 of 0,0 of 0,---,---,0,0
Josh Koscheck,Pete Spratt,Josh Koscheck,UFC Fight Night 1,Steve Mazzagatti,Submission,0,0,0 of 2,0 of 2,0%,0%,4 of 6,1 of 3,1 of 3,0 of 0,33%,---,1,0
Mike Swick,Gideon Ray,Mike Swick,UFC Fight Night 1,Herb Dean,KO/TKO,1,0,7 of 10,1 of 3,70%,33%,7 of 10,1 of 3,0 of 0,0 of 0,---,---,0,0
Kenny Florian,Alex Karalexis,Kenny Florian,UFC Fight Night 1,Cecil Peoples,TKO - Doctor's Stoppage,0,0,38 of 68,18 of 66,55%,27%,42 of 72,27 of 75,1 of 2,0 of 0,50%,---,0,0
Drew Fickett,Josh Neer,Drew Fickett,UFC Fight Night 1,Steve Mazzagatti,Submission,0,0,1 of 3,0 of 0,33%,---,6 of 8,0 of 0,2 of 3,0 of 1,66%,0%,1,0
Andrei Arlovski,Justin Eilers,Andrei Arlovski,UFC 53: Heavy Hitters,John McCarthy,KO/TKO,0,0,33 of 56,5 of 21,58%,23%,33 of 56,7 of 23,0 of 0,0 of 1,---,0%,0,0
Karo Parisyan,Matt Serra,Karo Parisyan,UFC 53: Heavy Hitters,Mario Yamasaki,Decision - Unanimous,0,1,56 of 127,26 of 65,44%,40%,113 of 191,52 of 91,8 of 10,1 of 2,80%,50%,2,0
Rich Franklin,Evan Tanner,Rich Franklin,UFC 53: Heavy Hitters,Herb Dean,TKO - Doctor's Stoppage,0,1,97 of 272,25 of 95,35%,26%,104 of 279,27 of 99,0 of 0,1 of 5,---,20%,1,1
Forrest Griffin,Bill Mahood,Forrest Griffin,UFC 53: Heavy Hitters,Herb Dean,Submission,0,0,3 of 4,1 of 1,75%,100%,32 of 33,2 of 2,1 of 1,0 of 0,100%,---,1,0
Paul Buentello,Kevin Jordan,Paul Buentello,UFC 53: Heavy Hitters,John McCarthy,Submission,1,0,20 of 43,18 of 33,46%,54%,23 of 47,26 of 41,0 of 0,0 of 1,---,0%,1,0
Nate Quarry,Shonie Carter,Nate Quarry,UFC 53: Heavy Hitters,Mario Yamasaki,KO/TKO,2,0,19 of 30,6 of 19,63%,31%,46 of 57,11 of 25,0 of 0,0 of 0,---,---,0,0
David Loiseau,Charles McCarthy,David Loiseau,UFC 53: Heavy Hitters,John McCarthy,KO/TKO,1,0,20 of 40,0 of 1,50%,0%,30 of 50,8 of 20,0 of 0,1 of 3,---,33%,0,1
Nick Diaz,Koji Oishi,Nick Diaz,UFC 53: Heavy Hitters,Mario Yamasaki,KO/TKO,1,0,25 of 44,2 of 22,56%,9%,26 of 45,2 of 22,0 of 0,0 of 0,---,---,0,0
Chuck Liddell,Randy Couture,Chuck Liddell,UFC 52: Couture vs Liddell 2,John McCarthy,KO/TKO,1,0,13 of 26,9 of 24,50%,37%,15 of 28,9 of 24,0 of 0,0 of 0,---,---,0,0
Renato Sobral,Travis Wiuff,Renato Sobral,UFC 52: Couture vs Liddell 2,Herb Dean,Submission,0,0,15 of 27,3 of 5,55%,60%,44 of 59,10 of 12,2 of 3,2 of 2,66%,100%,2,0
Matt Hughes,Frank Trigg,Matt Hughes,UFC 52: Couture vs Liddell 2,Mario Yamasaki,Submission,0,1,13 of 19,13 of 21,68%,61%,19 of 25,25 of 33,1 of 2,0 of 0,50%,---,1,1
Matt Lindland,Travis Lutter,Matt Lindland,UFC 52: Couture vs Liddell 2,Steve Mazzagatti,Submission,0,0,11 of 25,0 of 4,44%,0%,59 of 77,26 of 31,2 of 4,1 of 1,50%,100%,1,0
Georges St-Pierre,Jason Miller,Georges St-Pierre,UFC 52: Couture vs Liddell 2,John McCarthy,Decision - Unanimous,0,0,64 of 94,16 of 41,68%,39%,117 of 148,28 of 53,5 of 5,1 of 6,100%,16%,4,0
Ivan Salaverry,Joe Riggs,Ivan Salaverry,UFC 52: Couture vs Liddell 2,Mario Yamasaki,Submission,0,0,2 of 7,6 of 11,28%,54%,5 of 11,7 of 12,0 of 1,1 of 1,0%,100%,1,0
Joe Doerksen,Patrick Cote,Joe Doerksen,UFC 52: Couture vs Liddell 2,Herb Dean,Submission,0,2,9 of 24,37 of 54,37%,68%,35 of 55,49 of 66,4 of 6,0 of 0,66%,---,4,0
Mike van Arsdale,John Marsh,Mike van Arsdale,UFC 52: Couture vs Liddell 2,Steve Mazzagatti,Decision - Unanimous,0,1,34 of 60,18 of 35,56%,51%,85 of 117,40 of 58,1 of 4,1 of 1,25%,100%,0,1
Rich Franklin,Ken Shamrock,Rich Franklin,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,John McCarthy,KO/TKO,0,0,23 of 36,0 of 4,63%,0%,25 of 38,0 of 4,0 of 0,1 of 1,---,100%,0,2
Forrest Griffin,Stephan Bonnar,Forrest Griffin,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,Herb Dean,Decision - Unanimous,0,0,88 of 184,57 of 150,47%,38%,96 of 192,64 of 157,2 of 9,0 of 0,22%,---,1,0
Diego Sanchez,Kenny Florian,Diego Sanchez,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,Steve Mazzagatti,KO/TKO,0,0,14 of 21,2 of 4,66%,50%,14 of 21,5 of 7,1 of 2,0 of 0,50%,---,0,0
Sam Hoger,Bobby Southworth,Sam Hoger,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,John McCarthy,Decision - Unanimous,1,0,22 of 119,21 of 84,18%,25%,71 of 171,81 of 151,0 of 1,1 of 2,0%,50%,0,0
Chris Leben,Jason Thacker,Chris Leben,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,Herb Dean,KO/TKO,0,0,27 of 40,1 of 3,67%,33%,34 of 47,3 of 5,1 of 1,0 of 0,100%,---,0,0
Josh Koscheck,Chris Sanford,Josh Koscheck,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,Steve Mazzagatti,KO/TKO,0,0,14 of 17,1 of 2,82%,50%,27 of 31,3 of 4,2 of 2,0 of 0,100%,---,0,1
Nate Quarry,Lodune Sincaid,Nate Quarry,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,John McCarthy,KO/TKO,0,0,36 of 82,10 of 34,43%,29%,36 of 82,10 of 34,0 of 0,0 of 0,---,---,0,0
Mike Swick,Alex Schoenauer,Mike Swick,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,Herb Dean,KO/TKO,1,0,7 of 13,1 of 4,53%,25%,7 of 13,1 of 4,0 of 0,0 of 0,---,---,0,0
Alex Karalexis,Josh Rafferty,Alex Karalexis,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,Steve Mazzagatti,KO/TKO,0,0,6 of 12,1 of 3,50%,33%,12 of 19,2 of 4,0 of 0,0 of 1,---,0%,0,1
Tito Ortiz,Vitor Belfort,Tito Ortiz,UFC 51: Super Saturday,John McCarthy,Decision - Split,0,0,27 of 47,19 of 38,57%,50%,101 of 130,44 of 65,4 of 11,0 of 0,36%,---,0,1
Pete Sell,Phil Baroni,Pete Sell,UFC 51: Super Saturday,Mario Yamasaki,Submission,0,0,16 of 49,17 of 40,32%,42%,90 of 136,73 of 102,1 of 4,4 of 6,25%,66%,1,0
Andrei Arlovski,Tim Sylvia,Andrei Arlovski,UFC 51: Super Saturday,John McCarthy,Submission,1,0,5 of 10,2 of 4,50%,50%,5 of 10,2 of 4,0 of 0,0 of 0,---,---,2,0
Evan Tanner,David Terrell,Evan Tanner,UFC 51: Super Saturday,Herb Dean,KO/TKO,0,0,19 of 28,4 of 9,67%,44%,62 of 77,4 of 11,0 of 0,2 of 2,---,100%,0,1
Paul Buentello,Justin Eilers,Paul Buentello,UFC 51: Super Saturday,Steve Mazzagatti,KO/TKO,1,0,22 of 50,7 of 28,44%,25%,24 of 52,15 of 37,0 of 0,0 of 0,---,---,0,0
Mike Kyle,James Irvin,Mike Kyle,UFC 51: Super Saturday,Herb Dean,KO/TKO,1,0,10 of 15,3 of 6,66%,50%,30 of 39,3 of 6,1 of 1,0 of 0,100%,---,0,0
David Loiseau,Gideon Ray,David Loiseau,UFC 51: Super Saturday,Steve Mazzagatti,TKO - Doctor's Stoppage,2,0,17 of 34,11 of 23,50%,47%,25 of 43,12 of 24,0 of 0,1 of 1,---,100%,1,0
Karo Parisyan,Chris Lytle,Karo Parisyan,UFC 51: Super Saturday,Mario Yamasaki,Decision - Unanimous,0,0,29 of 66,7 of 16,43%,43%,81 of 124,58 of 67,7 of 9,0 of 0,77%,---,2,2
Nick Diaz,Drew Fickett,Nick Diaz,UFC 51: Super Saturday,John McCarthy,KO/TKO,0,0,13 of 28,3 of 8,46%,37%,136 of 153,4 of 13,0 of 1,0 of 0,0%,---,1,2
Tito Ortiz,Patrick Cote,Tito Ortiz,UFC 50: The War Of '04,John McCarthy,Decision - Unanimous,0,0,45 of 75,11 of 27,60%,40%,166 of 202,26 of 42,2 of 3,0 of 1,66%,0%,0,0
Rich Franklin,Jorge Rivera,Rich Franklin,UFC 50: The War Of '04,Mario Yamasaki,Submission,1,0,41 of 73,22 of 41,56%,53%,84 of 116,60 of 81,3 of 3,0 of 1,100%,0%,1,0
Matt Hughes,Georges St-Pierre,Matt Hughes,UFC 50: The War Of '04,John McCarthy,Submission,0,0,4 of 14,6 of 17,28%,35%,8 of 21,12 of 24,2 of 7,1 of 1,28%,100%,2,0
Frank Trigg,Renato Verissimo,Frank Trigg,UFC 50: The War Of '04,Herb Dean,KO/TKO,0,0,33 of 59,4 of 21,55%,19%,65 of 93,10 of 27,1 of 1,0 of 8,100%,0%,0,2
Evan Tanner,Robbie Lawler,Evan Tanner,UFC 50: The War Of '04,John McCarthy,Submission,0,0,6 of 17,3 of 14,35%,21%,6 of 17,4 of 15,0 of 0,1 of 1,---,100%,1,0
Ivan Salaverry,Tony Fryklund,Ivan Salaverry,UFC 50: The War Of '04,Herb Dean,Submission,1,0,9 of 15,4 of 6,60%,66%,20 of 29,4 of 6,0 of 2,0 of 1,0%,0%,1,0
Travis Lutter,Marvin Eastman,Travis Lutter,UFC 50: The War Of '04,Mario Yamasaki,KO/TKO,1,0,1 of 11,10 of 45,9%,22%,1 of 11,11 of 46,0 of 1,0 of 0,0%,---,0,0
Randy Couture,Vitor Belfort,Randy Couture,UFC 49: Unfinished Business,John McCarthy,TKO - Doctor's Stoppage,0,0,50 of 71,3 of 6,70%,50%,131 of 154,10 of 13,2 of 4,0 of 0,50%,---,0,2
Joe Riggs,Joe Doerksen,Joe Riggs,UFC 49: Unfinished Business,Steve Mazzagatti,KO/TKO,0,0,29 of 55,6 of 7,52%,85%,44 of 71,22 of 24,2 of 3,2 of 7,66%,28%,0,0
Chuck Liddell,Vernon White,Chuck Liddell,UFC 49: Unfinished Business,Mario Yamasaki,KO/TKO,2,0,31 of 68,13 of 37,45%,35%,51 of 88,13 of 37,1 of 1,0 of 1,100%,0%,0,0
David Terrell,Matt Lindland,David Terrell,UFC 49: Unfinished Business,Herb Dean,KO/TKO,1,0,5 of 7,0 of 1,71%,0%,5 of 7,0 of 1,0 of 0,0 of 0,---,---,0,0
Justin Eilers,Mike Kyle,Justin Eilers,UFC 49: Unfinished Business,John McCarthy,KO/TKO,1,0,4 of 9,7 of 16,44%,43%,5 of 10,7 of 16,0 of 1,0 of 0,0%,---,0,0
Chris Lytle,Ronald Jhun,Chris Lytle,UFC 49: Unfinished Business,Herb Dean,Submission,1,0,12 of 25,8 of 16,48%,50%,38 of 59,20 of 29,0 of 1,1 of 1,0%,100%,2,0
Karo Parisyan,Nick Diaz,Karo Parisyan,UFC 49: Unfinished Business,Mario Yamasaki,Decision - Split,0,0,27 of 79,37 of 102,34%,36%,48 of 104,121 of 189,9 of 15,1 of 2,60%,50%,0,2
Yves Edwards,Josh Thomson,Yves Edwards,UFC 49: Unfinished Business,Steve Mazzagatti,KO/TKO,1,0,16 of 21,13 of 22,76%,59%,24 of 30,33 of 43,0 of 1,2 of 3,0%,66%,0,0
Ken Shamrock,Kimo Leopoldo,Ken Shamrock,UFC 48: Payback,John McCarthy,KO/TKO,1,0,12 of 15,4 of 5,80%,80%,14 of 17,4 of 6,0 of 0,0 of 0,---,---,0,0
Frank Trigg,Dennis Hallman,Frank Trigg,UFC 48: Payback,Mario Yamasaki,KO/TKO,0,0,20 of 41,1 of 6,48%,16%,34 of 56,14 of 19,0 of 0,0 of 1,---,0%,0,2
Frank Mir,Tim Sylvia,Frank Mir,UFC 48: Payback,Herb Dean,Submission,0,0,3 of 3,2 of 5,100%,40%,3 of 3,2 of 5,0 of 0,1 of 1,---,100%,1,0
Matt Hughes,Renato Verissimo,Matt Hughes,UFC 48: Payback,Steve Mazzagatti,Decision - Unanimous,0,0,11 of 23,7 of 13,47%,53%,17 of 31,87 of 95,3 of 6,0 of 0,50%,---,1,4
Evan Tanner,Phil Baroni,Evan Tanner,UFC 48: Payback,John McCarthy,Decision - Unanimous,0,0,73 of 102,23 of 67,71%,34%,118 of 148,60 of 104,5 of 12,0 of 1,41%,0%,0,0
Matt Serra,Ivan Menjivar,Matt Serra,UFC 48: Payback,Mario Yamasaki,Decision - Unanimous,0,0,14 of 40,8 of 16,35%,50%,67 of 108,59 of 68,6 of 7,0 of 2,85%,0%,0,2
Georges St-Pierre,Jay Hieron,Georges St-Pierre,UFC 48: Payback,Steve Mazzagatti,KO/TKO,2,0,24 of 33,5 of 9,72%,55%,37 of 46,5 of 9,0 of 1,0 of 3,0%,0%,0,0
Trevor Prangley,Curtis Stout,Trevor Prangley,UFC 48: Payback,Herb Dean,Submission,0,0,12 of 18,5 of 7,66%,71%,45 of 57,23 of 27,2 of 4,0 of 0,50%,---,2,0
Chuck Liddell,Tito Ortiz,Chuck Liddell,UFC 47: It's On!,John McCarthy,KO/TKO,1,0,23 of 65,13 of 32,35%,40%,23 of 65,13 of 32,0 of 0,0 of 2,---,0%,0,0
Chris Lytle,Tiki Ghosn,Chris Lytle,UFC 47: It's On!,Mario Yamasaki,Submission,0,0,34 of 80,27 of 49,42%,55%,50 of 96,32 of 54,2 of 3,0 of 0,66%,---,1,0
Yves Edwards,Hermes Franca,Yves Edwards,UFC 47: It's On!,Herb Dean,Decision - Split,0,0,21 of 43,8 of 44,48%,18%,66 of 92,63 of 104,0 of 0,4 of 10,---,40%,1,2
Andrei Arlovski,Wesley Correira,Andrei Arlovski,UFC 47: It's On!,Mario Yamasaki,KO/TKO,1,0,51 of 83,4 of 29,61%,13%,51 of 83,4 of 29,0 of 0,0 of 0,---,---,0,0
Nick Diaz,Robbie Lawler,Nick Diaz,UFC 47: It's On!,Steve Mazzagatti,KO/TKO,1,0,22 of 75,16 of 64,29%,25%,29 of 83,18 of 66,0 of 1,0 of 0,0%,---,0,0
Mike Kyle,Wes Sims,Mike Kyle,UFC 47: It's On!,John McCarthy,KO/TKO,1,0,13 of 15,0 of 2,86%,0%,48 of 55,6 of 8,0 of 1,0 of 1,0%,0%,1,3
Jonathan Wiezorek,Wade Shipp,Jonathan Wiezorek,UFC 47: It's On!,Herb Dean,KO/TKO,0,0,10 of 10,20 of 23,100%,86%,37 of 37,42 of 48,1 of 4,0 of 0,25%,---,0,0
Genki Sudo,Mike Brown,Genki Sudo,UFC 47: It's On!,Steve Mazzagatti,Submission,0,0,6 of 8,13 of 15,75%,86%,10 of 12,36 of 41,1 of 1,1 of 2,100%,50%,4,0
